glyph_id,recording,broadcast,cycle,track,ordinal,frame,time_s,source,provisional,hamming_distance,confidence,assignment_basis,verification_status,observed_fingerprint
38,E6C2-1K,E6C2-1K,E6C2,Side,1,226,7.5364,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000000000000000001000000010000000100001000000010001000000000000000
39,E6C2-1K,E6C2-1K,E6C2,Side,2,227,7.5697,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000101000001000000010000000100000000000000100100000000000000000000000001000000001
40,E6C2-1K,E6C2-1K,E6C2,Side,3,238,7.9364,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100000000000000001000000000000000000000001000100000000000000000010000000000001011
41,E6C2-1K,E6C2-1K,E6C2,Side,4,244,8.1364,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000101000010000010010000001000000000001010000100000000000000000000000010000100001
42,E6C2-1K,E6C2-1K,E6C2,Side,5,250,8.3363,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000101000010000000000100010000000000000000000001100000000000000000000100010
43,E6C2-1K,E6C2-1K,E6C2,Side,6,251,8.3697,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100101000000000001100000011000100000001100000000010000000000011000000010000000011
44,E6C2-1K,E6C2-1K,E6C2,Side,7,262,8.7363,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010001000110000000000000000000000000000000000000011000000000000010000000000000010
45,E6C2-1K,E6C2-1K,E6C2,Side,8,264,8.803,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000000000000100010000000100011001001001000000100000000000001000000000001000011
46,E6C2-1K,E6C2-1K,E6C2,Side,9,270,9.003,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000101100000110000000000000000000000100000000100001000000011000000000000000010
47,E6C2-1K,E6C2-1K,E6C2,Side,10,275,9.1696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000011000010000000010100000000001100000000000000000010000000000001000000001
48,E6C2-1K,E6C2-1K,E6C2,Side,11,281,9.3696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,011000000000000000000010000000101000001010000000000000000000001010000000000000000
49,E6C2-1K,E6C2-1K,E6C2,Side,12,287,9.5696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000000000000100000011000101000000000000000000000100000000100000101000100000
50,E6C2-1K,E6C2-1K,E6C2,Side,13,293,9.7696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000001100000010000000000100010000000000000000000000000000000000000000000000000
51,E6C2-1K,E6C2-1K,E6C2,Side,14,299,9.9696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000001000000010000000000000000000100000000000000000000000001000000000001000
52,E6C2-1K,E6C2-1K,E6C2,Side,15,305,10.1696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100000100001000000000000000000010000001000000000001000000000000100000000010100001
53,E6C2-1K,E6C2-1K,E6C2,Side,16,310,10.3363,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000001000000100000010100000000000000000000000000100000000001000000000000000
54,E6C2-1K,E6C2-1K,E6C2,Side,17,317,10.5696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001000010000000000000010000100000001000000000100000010000000000000010001000111
55,E6C2-1K,E6C2-1K,E6C2,Side,18,323,10.7696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000000000001100010000000000000000000000000000000000000000011000100
56,E6C2-1K,E6C2-1K,E6C2,Side,19,329,10.9696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000100000000001100000001000000000000100000000000000100000000010000000001000000
57,E6C2-1K,E6C2-1K,E6C2,Side,20,335,11.1696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000000101000000000000000000001000000010000000000001000000000001000010000000000
58,E6C2-1K,E6C2-1K,E6C2,Side,21,342,11.403,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001001000000000001000000000000110000000000000100010000000000000000000000000000011
59,E6C2-1K,E6C2-1K,E6C2,Side,22,347,11.5696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000001000010000000001000000000000000100000000000000000000000000000000000000
60,E6C2-1K,E6C2-1K,E6C2,Side,23,354,11.8029,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000001000000000100110000000000000000010000100000010000000000000001010
61,E6C2-1K,E6C2-1K,E6C2,Side,24,359,11.9696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000100100000000000000000000000101000000010000000000000000010000100000000001000100
62,E6C2-1K,E6C2-1K,E6C2,Side,25,365,12.1696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000100101000000000010010000000001000001010100100100000000000010000000000000000010
63,E6C2-1K,E6C2-1K,E6C2,Side,26,372,12.4029,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000100000010000000010010001000010000000001000000010000000000000000000000110000001
64,E6C2-1K,E6C2-1K,E6C2,Side,27,376,12.5363,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000100000000000000000000100100000000000100000000000000010010000000101010000100
65,E6C2-1K,E6C2-1K,E6C2,Side,28,382,12.7363,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000001100000001000001000000000100000100000000000000000000010001100000
66,E6C2-1K,E6C2-1K,E6C2,Side,29,389,12.9696,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001100101000001000000000000010000001000000000001000000000000010000001000000010
67,E6C2-1K,E6C2-1K,E6C2,Side,30,396,13.2029,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000000000000000010000000000000100000000000000000000000000000000000
1,E6C2-1N,E6C2-1N,E6C2,Main,1,701,23.3813,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000100110100000101000010000000100000000100000000000000100000000001000010001000010
3,E6C2-1N,E6C2-1N,E6C2,Main,2,708,23.6146,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000010000010000000000000100000100101001010000000011000000000000001
4,E6C2-1N,E6C2-1N,E6C2,Main,3,713,23.7812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001001000000010000000000000010000000000000000000000010010000001000001000100000
5,E6C2-1N,E6C2-1N,E6C2,Main,4,719,23.9812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100001000000000000000000000000000000000010000000000000010000000000000000000000000
6,E6C2-1N,E6C2-1N,E6C2,Main,5,725,24.1812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000011000000000000000000000000000000100100001000010000000001000000010000000
7,E6C2-1N,E6C2-1N,E6C2,Main,6,731,24.3812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000001011000000100000000000000000000000000000000001010000000010000000000001000
8,E6C2-1N,E6C2-1N,E6C2,Main,7,737,24.5812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000001001101000000100010001000000001000001000000000000000000000000000000000000001
9,E6C2-1N,E6C2-1N,E6C2,Main,8,743,24.7812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000010000000001000000000000000000000000000000000000000000000010000000001001000
10,E6C2-1N,E6C2-1N,E6C2,Main,9,749,24.9812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,000000000000000000010000010000000000000000000100000000000010001000000101001000000
11,E6C2-1N,E6C2-1N,E6C2,Main,10,755,25.1812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100001000000000000000010000000000000000000000100010001000000000000000010100101000
12,E6C2-1N,E6C2-1N,E6C2,Main,11,761,25.3812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,010000001001000001000000010000000000000000000000000000000000001001000000000000010
13,E6C2-1N,E6C2-1N,E6C2,Main,12,767,25.5812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,001000000010000100010000001000010001000000000000000001000000010100000001100001101
14,E6C2-1N,E6C2-1N,E6C2,Main,13,773,25.7812,ArchiveInvest manual,False,0,,matches corpus tag,matches repeated corpus observations,100000010000000000000000000000000000001010100000001000000000010100000001000001000
