recording,ordinal,frame,source_video,source_sha256,method,review_status,overlay_enabled,reference_geometry_status,reference_frame,reference_geometry_provenance,operational_consensus,operational_status,proposal_selected,consensus_disagreement_cells,minimum_temporal_step_inliers,minimum_temporal_step_inlier_ratio
E6C2-11,23,748,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,24,754,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,25,760,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,26,766,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,27,772,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,28,778,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,29,784,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,30,790,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,31,795,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-11,32,801,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,awaiting-reviewed-reference,,,False,awaiting reviewed reference geometry,,,,
E6C2-1K,1,226,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: direct and temporal geometry disagree,,0.94,346,0.4908
E6C2-1K,2,227,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,rejected: direct and temporal geometry disagree,,0.7397,404,0.4406
E6C2-1K,3,238,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,False,reviewed reference seed; independent target review still required,reviewed reference seed,,,
E6C2-1K,4,244,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0395,481,0.5429
E6C2-1K,5,250,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0649,523,0.5831
E6C2-1K,6,251,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0322,397,0.4994
E6C2-1K,7,262,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0482,437,0.5727
E6C2-1K,8,264,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0833,437,0.5727
E6C2-1K,9,270,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0624,437,0.5727
E6C2-1K,10,275,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0463,437,0.4888
E6C2-1K,11,281,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0545,437,0.4968
E6C2-1K,12,287,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0528,437,0.5366
E6C2-1K,13,293,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0696,437,0.5078
E6C2-1K,14,299,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0584,437,0.5047
E6C2-1K,15,305,E6C2-1K zoomed.mp4,678cbc8989d975d610dfa69ff33385a02037ca794807a4aedda5e330a7f02325,review-only-hybrid-loftr-direct-temporal-lattice-diamond-v1,pending,False,reviewed-spike-seed; independent target review required,238,manually-reviewed-hybrid-spike-reference-v1,True,consensus candidate; manual review required,all-feature temporal similarity chain,0.0815,437,0.5366
