recording,ordinal,frame,source_video,source_sha256,method,review_status,overlay_enabled,corpus_fingerprint,detected_fingerprint,hamming_to_corpus,detector_separation,comparison,center_x,center_y,pitch_x,pitch_y,fit_score_x,fit_score_y
E6C2-11,15,700,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,001000001000000101000000011000100000000000100000000000000010010100000000000000010,001000101000000100000000011000100000000000100000000000000010011000000101000000110,7,0.0947,disagreement,236.0,273.0,34.0,34.5,33.2021,33.0515
E6C2-11,16,706,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000000110000000000000000100001001000010000000100000100000000000000010000000000,000000000010000000000000001100001001000010000000100000100010001000000111000000110,8,0.0985,disagreement,236.0,273.0,34.0,34.5,33.2179,34.3308
E6C2-11,17,712,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000100000000010000110000000001000000001001000000000100000000001000100,000000000000000100000000011000110000000001000000001001000010001000000110001000100,6,0.0943,disagreement,236.0,273.0,34.0,34.5,32.8413,33.8037
E6C2-11,18,719,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,001001000000000000000000010000000000000000000000000001100000000101000000000101000,001001000000000000000000011000000000000000000000000001100010001001000110000101100,7,0.0865,disagreement,236.0,273.0,34.0,34.5,32.5594,33.4463
E6C2-11,19,723,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000001000000000000000000000100000000000000000000011000010000010000000000000000000,000000001000000001000000011000100001000100000000110001100000011000000101001001001,20,0.1114,disagreement,270.0,273.0,34.0,34.5,33.3227,33.9779
E6C2-11,20,729,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,001000000110000000110000000000000000000100000100000000000000000100000010000000100,001000000010000000110000001000000000000100000100000000000010001000000111000000100,7,0.0869,disagreement,236.0,273.0,34.0,34.5,33.0158,33.3819
E6C2-11,21,736,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000010000000000000010001000000000000100000110000000001000000000000100,000000001000000101000000011000100001000100000000100001100000011010000111001001001,22,0.1165,disagreement,270.0,273.0,34.0,34.5,33.4517,34.1715
E6C2-11,22,742,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000000001000001000000010000100001001001000000000000000000001001000000000000000,000000000001000000000000011000100001001001000000000000000010001001000101000000100,6,0.0859,disagreement,236.0,273.0,34.0,34.5,32.8758,33.9769
E6C2-11,23,748,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000001000000000000100000000000000000000000000000000000000010000000001,000000000000000000000000001000100000000000000000000000000010001000000111000000100,8,0.0727,disagreement,236.0,273.0,34.0,34.5,34.4306,34.9077
E6C2-11,24,754,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,001000000000000000100000010000010000000011000000000001000000001001000000001100100,001000000000000000100000011000010000000011000000000001000010001001000101001100100,4,0.105,disagreement,236.0,273.0,34.0,34.5,32.7223,32.879
E6C2-11,25,760,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000011000000000000000000000000000001100000000000000000000010101000001000000000,000000111000000001000000011000100001001100000000100001000000011010000111001001001,17,0.1081,disagreement,270.0,273.0,34.0,34.5,33.265,33.9696
E6C2-11,26,766,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,101000000100000000010000000000000000000100100000000000110010010010000000001000000,101000000000000000010000001000000000000100100000000000110010011010000101001000100,6,0.102,disagreement,236.0,273.0,34.0,34.5,31.9712,33.3081
E6C2-11,27,772,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000000000000000100000000001100100000000000000000000000100000001000000000010000000,000000000000000100000000001100100000000000000000000000100010001000000101000000100,5,0.0896,disagreement,236.0,273.0,34.0,34.5,34.1571,34.3812
E6C2-11,28,778,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,010000100100000000000000000000000000001000000000000000000010000001000000000000000,000001001000000001000000011000100001000100000000100001000000011010000101001001001,24,0.1103,disagreement,270.0,273.0,34.0,34.5,33.1613,33.7379
E6C2-11,29,784,E6C2-11.mp4,f3e315472d4fc703857cc217e622fed1087fd87c5d2c3edaa37d4ada4c0c9389,independent-grid-line-plus-ring-read-v1,pending,False,000001000000000100010000000000100000000100000000000000000000000001000000001001010,000000001000000001100000011000100001001100000000100001000000011010000101011001101,22,0.116,disagreement,270.0,273.0,34.0,34.5,31.5133,33.3177
